text,label
"Antzerkia jendaurrean istorioak kontatzeko modu bat da. 
Antzezleek buruz ikasten dute istorioa, eta gero jendearen aurrean antzezten dute. Normalean antzokietan aritzen dira, baina plazetan, aretoetan eta kalean ere aritzen dira. 
Antzerkian, gehienetan, elkarrizketak izaten dira; batzuetan, bakarrizketak. Dena den, hitzik gabeko antzerkiak ere badira.
Antzerkietan musika, soinua, dantza, eta abar ere erabil daitezke.
Martxoaren 27an, Antzerkiaren Eguna izaten da urtero.

Deutsch
English
Español
Français",txiki
"Antzerkia edo teatroa (greziera klasikoz ""theatron"", θέατρον, edo ikusteko lekua) arte eszenikoa da, non publikoaren aurrean istorioak kontatzen diren antzezpen baten bidez, hau da, hitzez eta imintzioz egindako ikuskizunaren bidez, batzuetan musikaz eta dantzaz lagunduta edo txotxongilo bezalako osagaiekin.
Antzezlanak arlo honetako egintzak dira, eta zatika banatuta daude normalean, eta zati horietako bakoitzak ekitaldi, ekinaldi edo gertaldi izena hartzen du.
Halaber, antzerkitzat hartzen da publiko baten aurrean antzeztutako edo zineman grabatu eta erreproduzitzeko antzezlanak biltzen dituen literatura-generoa. Narratiba arruntaz gain, elkarrizketa-estiloa, antzerkiak beste forma batzuk ere hartzen ditu, hala nola opera, balleta, zinema, opera txinatarra edo pantomima.
Antzerkiaren Mundu Eguna 1961az geroztik ospatzen da. Zehazki, urte bakoitzeko martxoaren 27an ospatzen da data hori, Nazioarteko Antzerki Institutuak zehaztuta, antzerkiak kulturarentzat mundu osoan zer adierazten duen erakusteko arrazoia.
Azkenik, antzokiak dira arte mota hau eskaintzeko leku fisikoak, kalean ere emankizunak burutzen diren arren.",wiki
"Arkitektura leku edo inguru batean zerbait eraikitzeko egiten den jarduera da, bai eta jarduera horri dagokion artea edo zientzia ere.
Eraiki nahi dena planoetan marrazten da, eta plano horiek eraikuntza-enpresei ematen zaizkie, horietan adierazitakoa gauzatzeko.
Arkitektura-lanetan aritzen diren pertsonak arkitektoak dira, eta haien lanaren emaitzari obra aktitektoniko deitzen zaio. Obra hori, gehienetan, eraikin bat izango da, hau da, etxe, ospitale, museo edo lantoki bat, baina baita zubi bat edo aireportu bat ere.
Eraikinen arabera, honelako arkitektura-motak daude:

Arkitektura zibila: eraikin eta monumentu publiko edo pribatuak (etxeak, ospitaleak, museoak, zubiak, aireportuak...).
Arkitektura militarra: gerrarako edo herrialdea defenditzeko eraikitakoak (harresiak, gotorlekuak, gazteluak...).
Arkitektura erlijiosoa: erlijioaren edo fedearen beharretarako eraikinak (elizak, meskitak, sinagogak...)Arkitektura Unibertsitate-mailako ikasketa bat da gaur egun, baina arkitektoak egon ziren inolako ikasketarik egon baino lehenago ere, noski.",txiki
"Arkitektura giza habitataren espazioaren diseinuaz —bereziki eraikin eta egituren diseinuaz— arduratzen den zientzia eta artea da. Gaur egun arkitekturaren diziplinatik kanpo jo arren, bai hirigintza bai ingeniaritza zibila oso estuki lotuta daude arkitektoen zereginarekin. Izan ere, arkitektura oso diziplina zabala da, artea eta teknika batzen dituena.
Gizakiak bere lehen etxebizitzak eraiki zituenean sortu zen arkitektura, eta atal desberdinak ditu eraikuntza bakoitzaren erabilpenaren arabera:

arkitektura zibila, eraikin eta monumentu publiko edo pribatuak eraikitzeko artea
arkitektura militarra, harresi eta gotorlekuak egiteko artea
arkitektura hidraulikoa, ura garraiatu eta erabiltzeko edo horren azpian eraikitzeko artea
ontzi arkitektura, itsasontziak egiteko artea;
arkitektura erlijiozkoa, tenplu, monasterio, hilobi eta bestelako erlijiozko eraikinak eraikitzeko artea.Arkitekturaren diseinuak lantzen ditu masa, espazioa, bolumena, testura, argia, ekaiak, planoak eta elementu pragmatikoak, bai eta kostuak, eraikuntza eta teknologia, helburu estetikoa, funtzionala eta, maiz, artistikoa lortzeko.
Hainbat zibilizazio historiko, askotan, euren arkitektura-lanen bidez ezagutzen dira batez ere, baita zenbait hiri, eskualde eta kultura ere. Eraikin batzuk, Egiptoko piramideak eta Partenoia esaterako, kultura ikurrak dira, eta kontzientzia publikoaren katebegi garrantzitsu bat osatzen dute.",wiki
"Arkitekturaren historiari begiratzen badiogu, hasi behar da esaten gizakia bere burua eguralditik babesteko hasi zela aspaldi egurrezko bizitoki edo etxolak eraikitzen. Baina lehen zibilizazio handiak, Antzinako Babilonian edo Egipton adibidez, helburu garrantzitsuagoa zuten eraikinak egiten hasi ziren, askotan helburu erlijiosoekin (tenpluak, mastabak, zigurat edo tenplu-dorre sumertarrak, edo Egiptoko piramideak, esaterako). Horregatik, arkitekturak oso ondo erakusten du halako gizarte edo zibilizazio batek historian izan duen garapena.
Antzinako greziar eta erromatarrek egindako arkitekturari ""arkitektura klasikoa"" deitzen zaio. Arkitektura klasikoa oso formala zen, eta halako arau zorrotz batzuk zituen, harmonia bilatzen zutenak; adibidez, eraikinak simetrikoak izaten ziren eta halako proportzio batzuk edukitzen zituzten beren neurrien artean
Antzinako Greziako arkitekturako eraikinik ezagunenak tenpluak dira, haietako batzuk nahiko egoera onean daudenak, hala nola Atenasko Partenoia; edo aire zabalean eraikitako antzoki edo teatroak (lehenak K.a. IV. mendean hasi ziren eraikitzen), hilobi monumentalak (mausoleoak) edo kirola egiteko estadioak. Greziako arkitekturan batez ere kareharria eta marmola erabiltzen zuten tenplu eta eraikin publikoetako hormak eta zutabeak egiteko; eraikin xumeagoetarako, berriz, adobea erabiltzen zuten,  buztina, harea, ura eta lastoa nahasiz egina.
Bestalde, antzinako Erroman, arkitektura erromatar zibilizazioaren lekukotasunik garrantzitsuenetako bat da. Erromatarren arkitektura etruriarren eta greziarren arkitektura klasikoan oinarritu zen, baina ekarpen berriak ere erantsi zizkion. Erromatarrek ere harria eta marmola erabiltzen zuten eraikin garrantzitsuetarako, baina baita material berriak ere, adreiluak eta hormigoia, adibidez. Gainera, osagai arkitektoniko berriak asmatu zituzten, hala nola erdi puntuko arkuak, gangak eta kupulak. 
Erdi Aroan, eraikuntza erromanikoa agertu zen, erabilera erlijiosoa zuten eraikin sendoekin. Geroago, estilo gotikoak hartu zuen haren lekua, eraikin erromanikoen astuntasuna arinduz eta argiari leku handia emanez. Arabiarrek eraikuntza-estilo berezia hedatu zuten, apaindura aberatsez hornitutako meskita eta jauregi ederretan. Errenazimentu edo Pizkunde garaian erromatarren ereduetara itzuli nahi izan zen, oreka eta simetria lortzen saiatuz eta elementu klasikoak berreskuratuz, hala nola ordenak eta tinpanoak. Bestalde, arkitektura zibila ere asko garatu zen, arkitektura erlijiosoa adina. Florentziako katedrala eta jauregiak eta Erromako San Petri basilika dira eraikin nabarmenenak.
XVII. mendetik aurrera, barroko estiloan, kurba, elipse eta espiralak eta irudi polizentriko konplexuak erabili ziren, eta pinturaz, eskulturaz eta estukoez baliatzen zen multzo artistiko teatral joriak osatzeko, jabeen aberastasuna loriatzeko eta nabarmentzeko asmoz.
XVIII. mendean, arkitektura neoklasikoa agertu zen, barroko garaiko estilo handinahiaren aurkako erreakzio modura, masa geometriko handiak eta ordena klasikoak erabiliz.
Aurrerago, XIX. mendearen bukaeran, estilo modernista agertu zen.",txiki
"Arkitekturaren historiak arkitekturaren aldaketa aztertzen du, hainbat garai, tradizio, eskualde eta estiloetan zehar. Uste denez, tradizio guzti hauen jatorria, gizakiek babesteko duten beharra da. ""Arkitektura"" terminoa, oro har, eraikuntzei buruzkoa da, baina, funtsean, askoz zabalagoa da, eta orain beste praktika bereizitzat jotzen ditugun alorrak barne hartzen ditu, hala nola hirigintza, ingeniaritza zibila, itsas ingeniaritza eta paisaiagintza. Kasu gehienetan, aztertutako garaiak eta artearen historiakoak paralelo doaz, eta une batzuetan ideia estetikoak gainjarri edo nahastu egiten dira.
Diziplina hau, ezagutza historikoen beste edozein bezala, historiografiaren berezko mugak ditu : ikuspuntu ezberdinak egon daitezke, horietako gehienak mendebaldekoak, beste kultura batzuen alderdi etnografikoarenganaino.",wiki
"Artea irudimenaren bidez zerbait sortzeko jarduera da; adibidez, marrazki edo margolan bat, abesti bat, eskultura bat, zeramikazko pieza bat, liburu bat, film bat edo beste hainbat gauza. Sortze-lan horiei ""artelan"" esaten zaie, eta artelanak egiten dituen pertsonari, ""artista"". Denok egin ditzakegu artelanak, baina artista ona izateko eta, batez ere, artista ospetsua izateko, zenbait trebetasun ondo landuak izatea ezinbestekoa da. 

Gaur egun, arteaz ari garenean, ""arte ederrak"" ditugu gogoan gehienetan. Artelan horiek edertasunarekin eta artistaren sormenarekin lotuta egon ohi dira; objektu politak sortzeko gaitasunarekin, alegia. Baina horrek ez du esan nahi objektu horiek nahitaez zerbaitetarako balio behar dutenik: askotan gertatzen da jendeak artelan bat gogoko izatea, besterik gabe, gustatzen zaion zerbait berezia duelako, eta pentsarazi edo zerbait sentiarazten diolako. Leku askotan daude artelanak, baina garrantzitsuenak museoetan egon ohi dira. 
Arte-mota asko dago. ""Arte bisual"" esaten zaienen multzokoak dira, adibidez, margolanak eta estatuak, bai eta eraikinak ere. ""Arte eszenikoak"", aldiz, dantza, antzerkia eta zinema. Musika eta literatura ere beste arte-mota bat dira. 
Artea figuratiboa edo abstraktua izan daiteke:

Arte figuratiboan, irudiak edonork ezagutzeko moduan adierazita daude, erraz igartzen da zer diren; adibidez, paisaia bat, pertsona bat, etab.
Arte abstraktuan, aldiz, irudiak ulertzen zailagoak dira, eta pentsatzera behartzen gaituzte; formak erabiltzen dira askotan (zirkuluak, karratuak eta beste forma geometriko batzuk), eta kolore-nahasteak ere bai.",txiki
"Artea edo ertia errealitatea edo irudimena nolabait adierazteko giza ekintza da. Horretarako, askotariko tresnak erabili ohi dira, hala nola materia, irudia, soinua, gorputz-adierazpena eta abar, hartzailearen irudimena edota emozioa suspertzeko helburuarekin.",wiki
"Gizakiek milaka urtez margotu dute. Frantzia eta Espainiako kobazuloetako paretetan 15.000 urteko pinturak aurkitu dira. Labar-pintura horiek, orokorrean, lehenengo gizakiek ehizatzen zituzten animaliak erakusten dituzte. Txinan era Iranen, gutxienez 5.000 urte dituzten zeramika margotu zatiak aurkitu dira. Antzinaroko egiptoarrek beren hilobiak eta tenpluak margolan landuez apaintzen zituzten. Antzinako Greziako hiritarrek apaintzeko objektuak margotzen zituzten, hala pitxerrak, nola tenpluetako paretak.",txiki
Artearen historia artearen garapena denboran aztertzen eta ikertzen duen diziplina da.,wiki
